dataset,config_id,k_shot,n_seeds,frozen_acc,frozen_std,finetuned_acc,finetuned_std,finetuning_gain
eurosat,swin_b_satlas-ms_ms9,5,5,0.7925185185185184,0.012865773226406047,0.8622962962962962,0.014290250112762987,0.06977777777777783
eurosat,swin_b_satlas-ms_ms9,10,5,0.8587407407407408,0.01688864522241381,0.9146666666666666,0.005534528107412691,0.05592592592592582
eurosat,swin_b_satlas-ms_ms9,25,5,0.8985185185185184,0.005689737591013823,0.9565185185185185,0.005590016576214991,0.05800000000000016
eurosat,swin_b_satlas-ms_ms9,50,5,0.9162962962962963,0.0028808054048340926,0.9612592592592593,0.0015843888619413474,0.04496296296296298
eurosat,swin_b_satlas-ms_ms9,100,5,0.936888888888889,0.003245763303734367,0.9752592592592592,0.002085287149668031,0.038370370370370166
eurosat,swin_b_satlas-ms_ms9,full,5,0.9788148148148148,0.0009586799337441151,0.9908148148148148,0.0008842471397269277,0.01200000000000001
eurosat,swin_b_satlas-rgb_rgb3,5,5,0.8145925925925926,0.011833318843090869,0.8274814814814814,0.02610178451766963,0.012888888888888728
eurosat,swin_b_satlas-rgb_rgb3,10,5,0.8629629629629629,0.00858668379212565,0.8814074074074074,0.017001573396082735,0.018444444444444485
eurosat,swin_b_satlas-rgb_rgb3,25,5,0.9058518518518518,0.0056376648309586,0.9305185185185184,0.00875908307707866,0.024666666666666615
eurosat,swin_b_satlas-rgb_rgb3,50,5,0.9254074074074075,0.006009822777892333,0.9544444444444444,0.004588708034579212,0.029037037037036972
eurosat,swin_b_satlas-rgb_rgb3,100,5,0.9405925925925926,0.005028042077494887,0.9692592592592593,0.003494067085946862,0.028666666666666618
eurosat,swin_b_satlas-rgb_rgb3,full,5,0.9792592592592593,0.0005237828008789209,0.989925925925926,0.0007124216319137947,0.010666666666666713
eurosat,swin_b_scratch_ms9,5,5,0.5217777777777778,0.033372816122812864,0.5438518518518518,0.011748974796940773,0.022074074074074024
eurosat,swin_b_scratch_ms9,10,5,0.6036296296296296,0.022845277882668696,0.6168888888888888,0.020898211736229768,0.013259259259259193
eurosat,swin_b_scratch_ms9,25,5,0.6597777777777778,0.011789767947584351,0.7003703703703704,0.018743082857599985,0.040592592592592625
eurosat,swin_b_scratch_ms9,50,5,0.6735555555555555,0.017016090182614827,0.7151851851851851,0.01284336361807383,0.04162962962962968
eurosat,swin_b_scratch_ms9,100,5,0.7068148148148148,0.013332304487054303,0.7514814814814815,0.015964638564631338,0.04466666666666674
eurosat,swin_b_scratch_ms9,full,5,0.8753333333333334,0.004875683624818991,0.959925925925926,0.0025978782098889856,0.08459259259259255
resisc45,resnet50_imagenet_rgb3,5,5,0.6303915343915344,0.0113721909311884,0.6244656084656085,0.011743266751162985,-0.00592592592592589
resisc45,resnet50_imagenet_rgb3,10,5,0.7170793650793652,0.00298330132297842,0.7106031746031747,0.006601003577436741,-0.006476190476190524
resisc45,resnet50_imagenet_rgb3,25,5,0.786074074074074,0.005128510046429105,0.7942433862433862,0.008566070570441064,0.00816931216931216
resisc45,resnet50_imagenet_rgb3,50,5,0.8273862433862433,0.003837638757805061,0.8473650793650794,0.0035835381610635634,0.019978835978836096
resisc45,resnet50_imagenet_rgb3,100,5,0.8574391534391534,0.001768177657075591,0.8912592592592592,0.003997143516890086,0.03382010582010575
resisc45,resnet50_imagenet_rgb3,full,5,0.9096719576719575,0.0036760875179388166,0.9539894179894179,0.0019999720050670744,0.04431746031746042
resisc45,resnet50_satlas-rgb_rgb3,5,5,0.3743068783068783,0.013455890923008432,0.41011640211640205,0.017053395150590994,0.035809523809523736
resisc45,resnet50_satlas-rgb_rgb3,10,5,0.455026455026455,0.0037112545855556085,0.4951534391534391,0.008068184555822887,0.04012698412698412
resisc45,resnet50_satlas-rgb_rgb3,25,5,0.5434920634920635,0.002234784347295523,0.621037037037037,0.007687231648407752,0.07754497354497358
resisc45,resnet50_satlas-rgb_rgb3,50,5,0.6084232804232805,0.0046642544966198326,0.70205291005291,0.0023058101502586217,0.09362962962962951
resisc45,resnet50_satlas-rgb_rgb3,100,5,0.6628571428571429,0.005801799010316526,0.7776507936507937,0.003912769066120353,0.11479365079365078
resisc45,resnet50_satlas-rgb_rgb3,full,5,0.7504338624338625,0.003769335341526888,0.9020952380952382,0.002888714454876843,0.15166137566137572
resisc45,resnet50_scratch_rgb3,5,5,0.04152380952380946,0.014621107002113276,0.1979682539682539,0.008197609788738748,0.15644444444444444
resisc45,resnet50_scratch_rgb3,10,5,0.0251428571428571,0.0036943191763970026,0.22628571428571426,0.005833366327037214,0.20114285714285715
resisc45,resnet50_scratch_rgb3,25,5,0.03123809523809522,0.010527478538224526,0.2874920634920634,0.010410891571200717,0.2562539682539682
resisc45,resnet50_scratch_rgb3,50,5,0.026497354497354457,0.00920622757324015,0.3465396825396825,0.007193588216617001,0.320042328042328
resisc45,resnet50_scratch_rgb3,100,5,0.02878306878306876,0.01467049889999862,0.4267936507936508,0.00887703921681389,0.39801058201058204
resisc45,resnet50_scratch_rgb3,full,5,0.11428571428571424,0.08943658427237715,0.647111111111111,0.01947584478261111,0.5328253968253968
resisc45,swin_b_imagenet_rgb3,5,5,0.6048253968253968,0.008340880096681153,0.6836825396825397,0.010179212156365395,0.07885714285714285
resisc45,swin_b_imagenet_rgb3,10,5,0.6943492063492064,0.005738533699075494,0.7812063492063492,0.010369722471932432,0.08685714285714285
resisc45,swin_b_imagenet_rgb3,25,5,0.776973544973545,0.005574219091435676,0.857100529100529,0.004625682368664473,0.08012698412698405
resisc45,swin_b_imagenet_rgb3,50,5,0.8285291005291004,0.005794846582402371,0.897904761904762,0.002991547679844996,0.06937566137566153
resisc45,swin_b_imagenet_rgb3,100,5,0.8617142857142858,0.0030176361689121674,0.9275343915343915,0.0015378541481130326,0.06582010582010578
resisc45,swin_b_imagenet_rgb3,full,5,0.9197037037037037,0.0027981365301228533,0.9683386243386243,0.0009297728100101344,0.048634920634920586
resisc45,swin_b_satlas-aerial_rgb3,5,5,0.6396190476190475,0.010763938771330871,0.6778835978835979,0.016195662619859462,0.038264550264550334
resisc45,swin_b_satlas-aerial_rgb3,10,5,0.7124656084656085,0.01198395762404128,0.7621587301587303,0.01031450235715384,0.04969312169312179
resisc45,swin_b_satlas-aerial_rgb3,25,5,0.7902645502645503,0.004692021011088973,0.8421587301587301,0.013156975946963606,0.05189417989417977
resisc45,swin_b_satlas-aerial_rgb3,50,5,0.84194708994709,0.005154644970453659,0.8904973544973546,0.00688172483250427,0.048550264550264566
resisc45,swin_b_satlas-aerial_rgb3,100,5,0.8837248677248677,0.00375802939270516,0.9272380952380953,0.004159147494441468,0.043513227513227615
resisc45,swin_b_satlas-aerial_rgb3,full,5,0.9388359788359788,0.0004732419000000448,0.970074074074074,0.0016020479041503105,0.031238095238095176
resisc45,swin_b_satlas-rgb_rgb3,5,5,0.44029629629629624,0.00935488040586128,0.5226666666666666,0.011888266055084647,0.08237037037037037
resisc45,swin_b_satlas-rgb_rgb3,10,5,0.5267724867724868,0.017180701581039067,0.6275978835978836,0.01312988309011045,0.10082539682539682
resisc45,swin_b_satlas-rgb_rgb3,25,5,0.6319153439153439,0.007132306532830886,0.7428148148148148,0.004822425521651167,0.11089947089947094
resisc45,swin_b_satlas-rgb_rgb3,50,5,0.704126984126984,0.003945259657631161,0.8256507936507937,0.0018291886083666848,0.1215238095238097
resisc45,swin_b_satlas-rgb_rgb3,100,5,0.7600846560846561,0.005226270657539895,0.8794920634920634,0.0031483926809124227,0.1194074074074073
resisc45,swin_b_satlas-rgb_rgb3,full,5,0.8472804232804233,0.0015158522395318493,0.9485291005291006,0.0012821275116072742,0.10124867724867725
resisc45,swin_b_scratch_rgb3,5,5,0.2079576719576719,0.013618846172911885,0.20884656084656078,0.01042250151522595,0.0008888888888888835
resisc45,swin_b_scratch_rgb3,10,5,0.2378835978835978,0.011870733259157823,0.2275132275132275,0.016448815582150507,-0.010370370370370308
resisc45,swin_b_scratch_rgb3,25,5,0.28668783068783066,0.016354325323171433,0.26759788359788356,0.009523339200614905,-0.0190899470899471
resisc45,swin_b_scratch_rgb3,50,5,0.3393015873015873,0.016308248211122315,0.30264550264550266,0.007439085701935228,-0.036656084656084664
