dataset,config_id,k_shot,seed,stage,class_index,class_name,f1
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,0,AnnualCrop,0.8472222222222222
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,1,Forest,0.779874213836478
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,2,HerbaceousVegetation,0.6161790017211703
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,3,Highway,0.6446700507614214
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,4,Industrial,0.84765625
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,5,Pasture,0.6433260393873085
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,6,PermanentCrop,0.6600790513833992
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,7,Residential,0.9174603174603174
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,8,River,0.8910891089108911
eurosat,swin_b_satlas-ms_ms9,5,123,stage1,9,SeaLake,0.9917081260364843
eurosat,swin_b_satlas-ms_ms9,5,123,stage2,0,AnnualCrop,0.8920353982300885
eurosat,swin_b_satlas-ms_ms9,5,123,stage2,1,Forest,0.9015384615384615
eurosat,swin_b_satlas-ms_ms9,5,123,stage2,2,HerbaceousVegetation,0.7582608695652174
eurosat,swin_b_satlas-ms_ms9,5,123,stage2,3,Highway,0.8333333333333334
eurosat,swin_b_satlas-ms_ms9,5,123,stage2,4,Industrial,0.9357429718875502
eurosat,swin_b_satlas-ms_ms9,5,123,stage2,5,Pasture,0.8423529411764706
eurosat,swin_b_satlas-ms_ms9,5,123,stage2,6,PermanentCrop,0.7415254237288136
eurosat,swin_b_satlas-ms_ms9,5,123,stage2,7,Residential,0.9473684210526315
eurosat,swin_b_satlas-ms_ms9,5,123,stage2,8,River,0.9428007889546351
eurosat,swin_b_satlas-ms_ms9,5,123,stage2,9,SeaLake,0.9950083194675541
eurosat,resnet50_imagenet_rgb3,5,42,stage1,0,AnnualCrop,0.8134110787172012
eurosat,resnet50_imagenet_rgb3,5,42,stage1,1,Forest,0.8920634920634921
eurosat,resnet50_imagenet_rgb3,5,42,stage1,2,HerbaceousVegetation,0.844776119402985
eurosat,resnet50_imagenet_rgb3,5,42,stage1,3,Highway,0.49214659685863876
eurosat,resnet50_imagenet_rgb3,5,42,stage1,4,Industrial,0.8602150537634409
