dataset,k_shot,stage,seed,config_a,config_b,p_raw,n_discordant,b_only,c_only,exact_used,n_err_a,n_err_b,n_err_both,jaccard,gpu_mismatch,p_holm,significant_holm_05
eurosat,10,stage2,42,resnet50_imagenet_ms9,resnet50_satlas-rgb_rgb3,0.0006835512959903352,583,250,333,False,523,440,190,0.24579560155239327,False,0.006835512959903352,True
eurosat,10,stage2,42,resnet50_imagenet_ms9,resnet50_scratch_ms9,3.167309540389378e-88,1059,854,205,False,523,1172,318,0.23093681917211328,False,1.0452121483284949e-86,True
eurosat,10,stage2,42,resnet50_imagenet_ms9,swin_b_imagenet_ms9,1.8031414626607236e-30,494,119,375,False,523,267,148,0.23052959501557632,False,5.048796095450026e-29,True
eurosat,10,stage2,42,resnet50_imagenet_ms9,swin_b_imagenet_rgb3,1.7387376987056294e-19,541,165,376,False,523,312,147,0.2136627906976744,False,3.9990967070229475e-18,True
eurosat,10,stage2,42,resnet50_imagenet_ms9,swin_b_satlas-ms_ms9,5.568882531253399e-41,521,107,414,False,523,216,109,0.173015873015873,False,1.6149759340634856e-39,True
eurosat,10,stage2,42,resnet50_imagenet_ms9,swin_b_satlas-rgb_rgb3,6.8217933982194e-29,535,138,397,False,523,264,126,0.19062027231467474,False,1.8418842175192383e-27,True
eurosat,10,stage2,42,resnet50_imagenet_ms9,swin_b_scratch_ms9,6.498725762883113e-60,999,758,241,False,523,1040,282,0.22014051522248243,False,1.949617728864934e-58,True
eurosat,10,stage2,42,resnet50_imagenet_rgb3,resnet50_satlas-ms_ms9,0.17648275202689861,526,247,279,False,447,415,168,0.2420749279538905,False,0.7059310081075945,False
eurosat,10,stage2,42,resnet50_imagenet_rgb3,resnet50_satlas-rgb_rgb3,0.7906825622567484,511,252,259,False,447,440,188,0.26895565092989987,False,1.0,False
eurosat,10,stage2,42,resnet50_imagenet_rgb3,resnet50_scratch_ms9,4.4945707024619213e-107,1085,905,180,False,447,1172,267,0.19748520710059173,False,1.5730997458616724e-105,True
eurosat,10,stage2,42,resnet50_imagenet_rgb3,swin_b_imagenet_ms9,1.2923639496174736e-16,468,144,324,False,447,267,123,0.20812182741116753,False,2.584727899234947e-15,True
eurosat,10,stage2,42,resnet50_imagenet_rgb3,swin_b_imagenet_rgb3,8.492460298605694e-10,477,171,306,False,447,312,141,0.22815533980582525,False,1.3587936477769111e-08,True
eurosat,10,stage2,42,resnet50_imagenet_rgb3,swin_b_satlas-ms_ms9,2.474057188583307e-27,451,110,341,False,447,216,106,0.19030520646319568,False,6.432548690316598e-26,True
eurosat,10,stage2,42,resnet50_imagenet_rgb3,swin_b_satlas-rgb_rgb3,7.414900937243138e-18,447,132,315,False,447,264,132,0.22797927461139897,False,1.6312782061934904e-16,True
eurosat,10,stage2,42,resnet50_imagenet_rgb3,swin_b_scratch_ms9,4.942857124298e-84,929,761,168,False,447,1040,279,0.23096026490066227,False,1.53228570853238e-82,True
eurosat,10,stage2,42,resnet50_satlas-ms_ms9,resnet50_satlas-rgb_rgb3,0.27973909051438595,493,259,234,False,415,440,181,0.2685459940652819,False,0.8392172715431578,False
eurosat,10,stage2,42,resnet50_satlas-ms_ms9,resnet50_scratch_ms9,3.462549190573142e-126,1001,879,122,False,415,1172,293,0.22642967542503864,False,1.315768692417794e-124,True
eurosat,10,stage2,42,resnet50_satlas-ms_ms9,swin_b_imagenet_ms9,1.7726010469275834e-11,478,165,313,False,415,267,102,0.17586206896551723,False,3.013421779776892e-10,True
eurosat,10,stage2,42,resnet50_satlas-ms_ms9,swin_b_imagenet_rgb3,8.190284946074314e-06,523,210,313,False,415,312,102,0.1632,False,9.828341935289177e-05,True
eurosat,10,stage2,42,resnet50_satlas-ms_ms9,swin_b_satlas-ms_ms9,9.258872499177186e-21,449,125,324,False,415,216,91,0.1685185185185185,False,2.2221293998025245e-19,True
eurosat,10,stage2,42,resnet50_satlas-ms_ms9,swin_b_satlas-rgb_rgb3,1.820106696951913e-12,453,151,302,False,415,264,113,0.19964664310954064,False,3.276192054513444e-11,True
